what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1424275545332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424275545427
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1424275545439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1424275545439
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424275545460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424275546739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424275547741
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1424275547773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1424275547773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424275549929
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1424275553173
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1424275553192
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1424275561746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424275577906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424275577921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424275580312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1424275580328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1424275580328
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1424275581718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424275583875
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1424275587016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424275609173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424275609189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424275610299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1424275610314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1424275610314
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1424275612721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424275618659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424275619378
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1424275627910
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1424275659131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424275665210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424275669569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424275680117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424275695727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424275696368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424275737434
