what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424466758828
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1424466761312
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424466761515
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424466761547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424466766547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424466788596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424466794316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424466795097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1424466800285
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424466801067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424466801723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424466819444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424466865793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424466872403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424466886280
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424466886405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424466892640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424466896359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424466902875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424466908907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424466925877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424467073787
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424467074678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424467076772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424467113339
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1424467113371
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424467117387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424467118637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424467147156
